epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.2847,1.17668,2.03244,1.46203,0.66166,0.36159,0.5312,0.28973,1.59994,2.39892,1.99144,0.0673511,0.000329787,0.000329787
2,87.5321,1.08923,1.08161,1.36101,0.77373,0.80118,0.85022,0.59182,0.99491,1.18646,1.40165,0.0343504,0.000662473,0.000662473
3,124.961,1.05458,0.96096,1.34005,0.77916,0.77147,0.85335,0.66482,0.76828,1.12304,1.17469,0.00134717,0.000992565,0.000992565
4,162.328,1.04645,0.93462,1.34075,0.8553,0.8103,0.91582,0.66156,0.93372,0.88271,1.2832,0.000991232,0.000991232,0.000991232
5,198.442,0.99913,0.86005,1.29506,0.8436,0.87761,0.93916,0.69118,0.9201,0.79372,1.2953,0.000984449,0.000984449,0.000984449
6,234.431,0.96087,0.80486,1.28275,0.46539,0.40911,0.34952,0.18287,2.35427,3.05609,3.37571,0.000975773,0.000975773,0.000975773
7,270.451,0.93903,0.77526,1.25757,0.84087,0.9329,0.96333,0.67895,1.03372,0.67764,1.35544,0.000965239,0.000965239,0.000965239
8,306.553,0.92432,0.76581,1.25349,0.91072,0.92702,0.97575,0.82235,0.61523,0.51744,1.04789,0.000952889,0.000952889,0.000952889
9,342.526,0.92365,0.69831,1.24438,0.92493,0.89891,0.97823,0.79423,0.71034,0.57004,1.11187,0.000938772,0.000938772,0.000938772
10,379.511,0.91507,0.69149,1.23637,0.96191,0.97418,0.98833,0.80079,0.73686,0.42888,1.11562,0.000922942,0.000922942,0.000922942
11,415.568,0.88089,0.69296,1.21632,0.95564,0.98577,0.99044,0.82238,0.62507,0.40398,1.04342,0.000905463,0.000905463,0.000905463
12,451.597,0.86509,0.65147,1.2168,0.87002,0.88342,0.94622,0.59079,1.27898,0.76749,1.59158,0.000886404,0.000886404,0.000886404
13,487.736,0.84258,0.63826,1.20229,0.9558,0.97359,0.99152,0.7538,0.91066,0.44903,1.27047,0.000865839,0.000865839,0.000865839
14,523.753,0.83728,0.64281,1.19277,0.97558,0.94756,0.98389,0.81181,0.6938,0.41706,1.09173,0.000843851,0.000843851,0.000843851
15,559.734,0.81951,0.62181,1.18185,0.94254,0.96412,0.98269,0.79801,0.73609,0.42742,1.11471,0.000820525,0.000820525,0.000820525
16,595.835,0.81532,0.61188,1.18364,0.93877,0.93445,0.9836,0.82443,0.64478,0.46253,1.05244,0.000795954,0.000795954,0.000795954
17,632.424,0.79904,0.58531,1.16945,0.99124,0.98966,0.99212,0.83826,0.62739,0.32807,1.04256,0.000770234,0.000770234,0.000770234
18,668.693,0.82245,0.59611,1.17812,0.98514,0.98634,0.99311,0.83539,0.63408,0.34688,1.04807,0.000743468,0.000743468,0.000743468
19,704.908,0.78731,0.56967,1.16094,0.98596,0.98837,0.99347,0.83688,0.6652,0.32672,1.06929,0.000715761,0.000715761,0.000715761
20,741.73,0.77622,0.56245,1.14933,0.95831,0.95634,0.98583,0.84416,0.59242,0.40498,1.02213,0.000687222,0.000687222,0.000687222
21,777.829,0.77775,0.55105,1.15553,0.99136,0.98805,0.99405,0.88537,0.51377,0.29713,0.97362,0.000657963,0.000657963,0.000657963
22,814.255,0.77085,0.55463,1.14761,0.97544,0.97346,0.99218,0.86193,0.5587,0.33656,0.99076,0.000628101,0.000628101,0.000628101
23,850.699,0.77221,0.53425,1.1525,0.97667,0.9726,0.99078,0.85094,0.59807,0.35084,1.03672,0.000597754,0.000597754,0.000597754
24,886.951,0.76902,0.53037,1.15122,0.99224,0.99178,0.99432,0.86724,0.5541,0.29063,1.00321,0.00056704,0.00056704,0.00056704
25,922.877,0.73575,0.51936,1.13486,0.99467,0.99433,0.99486,0.88704,0.51753,0.27926,0.97116,0.000536081,0.000536081,0.000536081
26,958.868,0.71623,0.50079,1.12143,0.98935,0.99002,0.9946,0.88804,0.48431,0.26929,0.95043,0.000505,0.000505,0.000505
27,998.171,0.73062,0.51951,1.124,0.98721,0.99153,0.99431,0.85901,0.59399,0.29831,1.0169,0.000473919,0.000473919,0.000473919
28,1033.91,0.7099,0.49641,1.11203,0.99279,0.99668,0.99463,0.87601,0.54638,0.26521,0.9921,0.00044296,0.00044296,0.00044296
29,1070.58,0.70672,0.47954,1.12111,0.99734,0.99618,0.99482,0.90019,0.46834,0.24086,0.943,0.000412246,0.000412246,0.000412246
30,1106.37,0.71058,0.48361,1.10808,0.9963,0.99384,0.99481,0.88528,0.5152,0.25224,0.9686,0.000381899,0.000381899,0.000381899
31,1142.23,0.69212,0.47004,1.10226,0.99315,0.99543,0.99454,0.88406,0.52855,0.25035,0.9733,0.000352037,0.000352037,0.000352037
32,1178.03,0.67037,0.45392,1.09872,0.9965,0.99593,0.99495,0.89023,0.50627,0.23437,0.96063,0.000322778,0.000322778,0.000322778
33,1218.83,0.68317,0.45857,1.10103,0.99851,0.99668,0.99495,0.89801,0.48987,0.22872,0.94364,0.000294239,0.000294239,0.000294239
34,1260.81,0.6614,0.4494,1.09248,0.99673,0.99668,0.99498,0.90794,0.45229,0.22767,0.92578,0.000266532,0.000266532,0.000266532
35,1302.75,0.64838,0.4276,1.07771,0.99671,0.99603,0.99497,0.91763,0.41538,0.21994,0.91113,0.000239766,0.000239766,0.000239766
36,1344.53,0.64988,0.42221,1.08452,0.99518,0.99373,0.99482,0.92155,0.41113,0.21294,0.90583,0.000214046,0.000214046,0.000214046
